Year,Sex,Name,Count
1935,Boy,Brian,142
1935,Boy,Donald,118
1935,Boy,James,126
1935,Boy,John,293
1935,Boy,Peter,104
1935,Boy,Raymond,82
1935,Boy,Robert,192
1935,Boy,Ronald,163
1935,Boy,William,153
1935,Girl,Barbara,64
1935,Girl,Betty,62
1935,Girl,Dorothy,99
1935,Girl,Joan,83
1935,Girl,Margaret,203
1935,Girl,Mary,81
1935,Girl,Patricia,158
1935,Girl,Shirley,156
1935,Girl,Valerie,64
1935,Girl,Valma,70
1936,Boy,Brian,151
1936,Boy,Donald,107
1936,Boy,James,93
1936,Boy,John,294
1936,Boy,Kevin,99
1936,Boy,Peter,119
1936,Boy,Raymond,100
1936,Boy,Robert,187
1936,Boy,Ronald,160
1936,Boy,William,174
1936,Girl,Barbara,76
1936,Girl,Dorothy,81
1936,Girl,Joan,101
1936,Girl,Margaret,231
1936,Girl,Mary,66
1936,Girl,Maureen,82
1936,Girl,Norma,62
1936,Girl,Patricia,168
1936,Girl,Shirley,178
1936,Girl,Valma,61
1937,Boy,Brian,139
1937,Boy,Donald,108
1937,Boy,James,102
1937,Boy,John,283
1937,Boy,Kenneth,86
1937,Boy,Kevin,99
1937,Boy,Peter,129
1937,Boy,Robert,213
1937,Boy,Ronald,162
1937,Boy,William,134
1937,Girl,Dorothy,107
1937,Girl,Elizabeth,78
1937,Girl,Joan,85
1937,Girl,Judith,63
1937,Girl,Margaret,252
1937,Girl,Mary,64
1937,Girl,Pamela,74
1937,Girl,Patricia,158
1937,Girl,Shirley,117
1937,Girl,Valerie,68
1938,Boy,Barry,112
1938,Boy,Brian,138
1938,Boy,Donald,103
1938,Boy,John,280
1938,Boy,Kevin,106
1938,Boy,Peter,131
1938,Boy,Robert,206
1938,Boy,Ronald,181
1938,Boy,William,175
1938,Girl,Dorothy,86
1938,Girl,Joan,71
1938,Girl,Judith,97
1938,Girl,Margaret,282
1938,Girl,Mary,79
1938,Girl,Maureen,84
1938,Girl,Patricia,133
1938,Girl,Shirley,95
1938,Girl,Valerie,77
1939,Boy,Barry,102
1939,Boy,Brian,139
1939,Boy,James,93
1939,Boy,John,312
1939,Boy,Kevin,110
1939,Boy,Peter,159
1939,Boy,Raymond,95
1939,Boy,Robert,226
1939,Boy,Ronald,119
1939,Boy,William,152
1939,Girl,Dorothy,98
1939,Girl,Janice,66
1939,Girl,Joan,86
1939,Girl,Judith,81
1939,Girl,Margaret,257
1939,Girl,Mary,67
1939,Girl,Maureen,92
1939,Girl,Patricia,148
1939,Girl,Shirley,91
1939,Girl,Valerie,87
1940,Boy,Barry,109
1940,Boy,Brian,132
1940,Boy,David,92
1940,Boy,James,92
1940,Boy,John,319
1940,Boy,Kevin,104
1940,Boy,Peter,144
1940,Boy,Robert,232
1940,Boy,Ronald,124
1940,Boy,William,123
1940,Girl,Barbara,86
1940,Girl,Dorothy,92
