Year,Sex,Name,Count
1991,Boy,Aaron,1049
1991,Boy,Abbas,8
1991,Boy,Abdallah,5
1991,Boy,Abdelkader,5
1991,Boy,Abdirahman,12
1991,Boy,Abdul,16
1991,Boy,Abdullah,20
1991,Boy,Abdullahi,9
1991,Boy,Abdulrahman,5
1991,Boy,Abe,7
1991,Boy,Abel,12
1991,Boy,Abraham,30
1991,Boy,Abram,19
1991,Boy,Adam,1650
1991,Boy,Adamie,8
1991,Boy,Adamo,8
1991,Boy,Adan,6
1991,Boy,Addison,20
1991,Boy,Adel,12
1991,Boy,Aden,7
1991,Boy,Adil,12
1991,Boy,Adnan,11
1991,Boy,Adrian,315
1991,Boy,Adriano,16
1991,Boy,Adriel,7
1991,Boy,Adrien,43
1991,Boy,Ahmad,50
1991,Boy,Ahmed,74
1991,Boy,Aidan,66
1991,Boy,Aiden,8
1991,Boy,Aime,5
1991,Boy,Ajay,15
1991,Boy,Akeem,18
1991,Boy,Akram,5
1991,Boy,Alain,69
1991,Boy,Alan,144
1991,Boy,Alastair,15
1991,Boy,Albert,96
1991,Boy,Alberto,19
1991,Boy,Alden,5
1991,Boy,Aldo,5
1991,Boy,Alec,54
1991,Boy,Aleem,7
1991,Boy,Alejandro,19
1991,Boy,Alek,5
1991,Boy,Aleksandar,9
1991,Boy,Aleksander,15
1991,Boy,Alessandro,45
1991,Boy,Alex,698
1991,Boy,Alexander,1911
1991,Boy,Alexandra,14
1991,Boy,Alexandre,2025
1991,Boy,Alexandro,5
1991,Boy,Alexandros,7
1991,Boy,Alexandru,15
1991,Boy,Alexei,5
1991,Boy,Alexendre,5
1991,Boy,Alexi,8
1991,Boy,Alexis,153
1991,Boy,Alfred,29
1991,Boy,Alfredo,16
1991,Boy,Ali,118
1991,Boy,Alim,5
1991,Boy,Alistair,10
1991,Boy,Alister,6
1991,Boy,Alix,8
1991,Boy,Allan,161
1991,Boy,Allen,68
1991,Boy,Allison,8
1991,Boy,Allister,7
1991,Boy,Almeida,5
1991,Boy,Alphonse,5
1991,Boy,Alvin,51
1991,Boy,Aly,9
1991,Boy,Aman,18
1991,Boy,Amanda,5
1991,Boy,Amandeep,19
1991,Boy,Amar,9
1991,Boy,Amardeep,9
1991,Boy,Ambrose,5
1991,Boy,Ameer,5
1991,Boy,Amer,6
1991,Boy,Amin,8
1991,Boy,Amine,13
1991,Boy,Amir,37
1991,Boy,Amit,16
1991,Boy,Ammar,12
1991,Boy,Amos,16
1991,Boy,Amour,5
1991,Boy,Amrit,15
1991,Boy,Amritpal,8
1991,Boy,Anas,6
1991,Boy,Anass,6
1991,Boy,Anastasios,7
1991,Boy,Anders,11
1991,Boy,Anderson,16
1991,Boy,Andre,247
1991,Boy,Andrea,9
1991,Boy,Andreas,31
1991,Boy,Andrei,19
1991,Boy,Andrej,5
1991,Boy,Andres,23
1991,Boy,Andrew,2887
1991,Boy,Andrij,5
1991,Boy,Andy,136
1991,Boy,Angel,6
1991,Boy,Angelo,51
1991,Boy,Angus,48
1991,Boy,Anh,9
1991,Boy,Anil,10
1991,Boy,Anson,11
1991,Boy,Anthony,1356
1991,Boy,Antoine,356
1991,Boy,Anton,31
1991,Boy,Antoni,14
1991,Boy,Antonin,6
1991,Boy,Antonino,9
1991,Boy,Antonio,83
1991,Boy,Antonios,7
1991,Boy,Antony,66
1991,Boy,Aram,6
1991,Boy,Aren,6
1991,Boy,Ari,10
1991,Boy,Aric,11
1991,Boy,Arie,6
1991,Boy,Ariel,29
1991,Boy,Arif,9
1991,Boy,Arjun,19
1991,Boy,Arlen,7
1991,Boy,Armand,9
1991,Boy,Armando,10
1991,Boy,Armen,6
1991,Boy,Armin,6
1991,Boy,Arnaud,47
1991,Boy,Arnold,36
1991,Boy,Aron,30
1991,Boy,Arron,17
1991,Boy,Arthur,96
1991,Boy,Artur,5
1991,Boy,Arun,7
1991,Boy,Arvin,5
1991,Boy,Arvind,5
1991,Boy,Arvinder,8
1991,Boy,Aryeh,8
1991,Boy,Asad,6
1991,Boy,Asher,5
1991,Boy,Ashley,30
1991,Boy,Ashton,69
1991,Boy,Asif,9
1991,Boy,Attila,5
1991,Boy,Aubrey,14
1991,Boy,Audrey,8
1991,Boy,August,7
1991,Boy,Augustin,5
1991,Boy,Augustus,5
1991,Boy,Austen,13
1991,Boy,Austin,190
1991,Boy,Avery,17
1991,Boy,Avneet,7
1991,Boy,Avraham,9
1991,Boy,Avrohom,7
1991,Boy,Axel,27
1991,Boy,Ayman,10
1991,Boy,Aymen,5
1991,Boy,Ayoub,6
1991,Boy,Aziz,6
1991,Boy,Baby,378
1991,Boy,Bailey,8
1991,Boy,Baljinder,7
1991,Boy,Balraj,6
1991,Boy,Baltej,5
1991,Boy,Barret,12
1991,Boy,Barrett,12
1991,Boy,Barry,52
1991,Boy,Bartholomew,5
1991,Boy,Basil,5
1991,Boy,Bastien,17
1991,Boy,Beau,33
1991,Boy,Ben,46
1991,Boy,Benedict,12
1991,Boy,Benito,6
1991,Boy,Benjamen,10
1991,Boy,Benjamin,1265
1991,Boy,Bennett,17
