Year,Sex,Name,Count
1900,Boy,Abdon,4
1900,Boy,Abel,428
1900,Boy,Abraham,19
1900,Boy,Achille,205
1900,Boy,Achilles,6
1900,Boy,Adalbert,7
1900,Boy,Adam,20
1900,Boy,Adelin,7
1900,Boy,Adhemar,5
1900,Boy,Adolphe,495
1900,Boy,Adonis,22
1900,Boy,Adrien,848
1900,Boy,Agathe,4
1900,Boy,Agenor,6
1900,Boy,Agnan,3
1900,Boy,Aimable,31
1900,Boy,Aime,563
1900,Boy,Alain,97
1900,Boy,Alban,54
1900,Boy,Alberic,22
1900,Boy,Albert,3357
1900,Boy,Albertin,4
1900,Boy,Albin,41
1900,Boy,Alcide,122
1900,Boy,Alcime,4
1900,Boy,Alex,5
1900,Boy,Alexandre,977
1900,Boy,Alexis,346
1900,Boy,Alfred,1553
1900,Boy,Alfrede,3
1900,Boy,Alix,31
1900,Boy,Allain,18
1900,Boy,Allyre,3
1900,Boy,Almir,3
1900,Boy,Almire,8
1900,Boy,Alois,11
1900,Boy,Aloise,42
1900,Boy,Aloyse,48
1900,Boy,Alphee,3
1900,Boy,Alphonse,1219
1900,Boy,Amable,7
1900,Boy,Amand,80
1900,Boy,Amans,7
1900,Boy,Amaury,4
1900,Boy,Ambroise,88
1900,Boy,Amede,26
1900,Boy,Amedee,205
1900,Boy,Amour,5
1900,Boy,Amélie,3
1900,Boy,Anaclet,7
1900,Boy,Anastase,7
1900,Boy,Anasthase,3
1900,Boy,Anatole,88
1900,Boy,André,5531
1900,Boy,Ange,176
1900,Boy,Ange-Marie,3
1900,Boy,Angel,19
1900,Boy,Angelbert,3
1900,Boy,Angeli,4
1900,Boy,Angelin,9
1900,Boy,Angelo,8
1900,Boy,Angely,4
1900,Boy,Anicet,22
1900,Boy,Anne,7
1900,Boy,Annet,24
1900,Boy,Annibal,3
1900,Boy,Anselme,50
1900,Boy,Anthelme,15
1900,Boy,Anthime,20
1900,Boy,Anthyme,3
1900,Boy,Antoine,2083
1900,Boy,Antoni,8
1900,Boy,Antonie,5
1900,Boy,Antonin,369
1900,Boy,Antonio,3
1900,Boy,Antony,31
1900,Boy,Apollinaire,6
1900,Boy,Appolinaire,11
1900,Boy,Aramis,5
1900,Boy,Arcade,9
1900,Boy,Archange,3
1900,Boy,Ariste,6
1900,Boy,Aristide,170
1900,Boy,Armand,827
1900,Boy,Armant,3
1900,Boy,Armel,11
1900,Boy,Armon,3
1900,Boy,Arnaud,86
1900,Boy,Arnauld,3
1900,Boy,Arnold,10
1900,Boy,Arnould,9
1900,Boy,Arsene,257
1900,Boy,Arthemon,4
1900,Boy,Arthur,659
1900,Boy,Athanase,20
1900,Boy,Attilius,3
1900,Boy,Aubert,4
1900,Boy,Aubin,33
1900,Boy,Augusta,3
1900,Boy,Augustave,5
1900,Boy,Auguste,2603
1900,Boy,Augustin,556
1900,Boy,Aurele,4
1900,Boy,Aurélien,32
1900,Boy,Avit,8
1900,Boy,Aymar,4
1900,Boy,Aymard,5
1900,Boy,Azael,3
1900,Boy,Babylas,3
1900,Boy,Balthazar,3
1900,Boy,Baptiste,257
1900,Boy,Baptistin,49
1900,Boy,Barbe,4
1900,Boy,Barnabe,10
1900,Boy,Barthelemi,8
1900,Boy,Barthelemy,128
1900,Boy,Basile,48
1900,Boy,Bastien,3
1900,Boy,Bazile,5
1900,Boy,Benjamin,112
1900,Boy,Benoni,14
1900,Boy,Benoît,229
1900,Boy,Bernabe,6
1900,Boy,Bernadin,7
1900,Boy,Bernard,419
1900,Boy,Bernardin,22
1900,Boy,Berthin,4
1900,Boy,Bertin,21
1900,Boy,Bertrand,81
1900,Boy,Bienaime,8
1900,Boy,Blaise,55
1900,Boy,Bonaventure,14
1900,Boy,Boniface,22
1900,Boy,Bonnet,7
1900,Boy,Bruno,23
1900,Boy,Calixte,22
1900,Boy,Camil,4
1900,Boy,Camile,5
1900,Boy,Camille,1200
1900,Boy,Candassamy,3
1900,Boy,Carlos,6
1900,Boy,Casimir,124
1900,Boy,Cecilien,7
1900,Boy,Celeste,13
1900,Boy,Celestin,272
1900,Boy,Cesaire,17
1900,Boy,Cesar,97
1900,Boy,Charlemagne,19
1900,Boy,Charles,4364
1900,Boy,Charlot,6
1900,Boy,Cheri,7
1900,Boy,Childebert,5
1900,Boy,Chretien,21
1900,Boy,Christian,61
1900,Boy,Christophe,51
1900,Boy,Clair,13
1900,Boy,Claire,3
1900,Boy,Clarius,3
1900,Boy,Claude,667
1900,Boy,Claudien,4
1900,Boy,Claudius,305
1900,Boy,Clementin,3
1900,Boy,Cleophas,8
1900,Boy,Clet,9
1900,Boy,Clodius,4
1900,Boy,Clodomir,9
1900,Boy,Clotaire,69
1900,Boy,Clovis,131
1900,Boy,Clément,499
1900,Boy,Colbert,5
1900,Boy,Come,4
1900,Boy,Conrad,14
1900,Boy,Constant,325
1900,Boy,Constantin,24
1900,Boy,Corentin,67
1900,Boy,Corneille,11
1900,Boy,Cosme,8
1900,Boy,Coupoussamy,3
1900,Boy,Court,3
1900,Boy,Crepin,4
1900,Boy,Crescent,4
1900,Boy,Curt,18
1900,Boy,Cyprien,94
1900,Boy,Cyr,6
1900,Boy,Cyriaque,9
1900,Boy,Cyrille,77
1900,Boy,Cyrus,3
1900,Boy,Damas,6
1900,Boy,Damase,3
1900,Boy,Damien,31
1900,Boy,Daniel,342
1900,Boy,Danton,5
1900,Boy,Darius,4
1900,Boy,David,55
1900,Boy,Del,10
1900,Boy,Delphin,32
1900,Boy,Demetrius,3
1900,Boy,Denis,212
1900,Boy,Desir,7
1900,Boy,Desiree,3
1900,Boy,Didier,25
1900,Boy,Dieudonne,12
1900,Boy,Diogene,3
1900,Boy,Dominique,252
1900,Boy,Don,28
1900,Boy,Donat,11
1900,Boy,Donatien,34
1900,Boy,Désiré,495
1900,Boy,Edgar,34
1900,Boy,Edgard,98
1900,Boy,Edme,12
1900,Boy,Edmond,987
1900,Boy,Edouard,1142
1900,Boy,Edward,7
1900,Boy,Egiste,3
1900,Boy,Eleonor,4
1900,Boy,Eleonore,3
1900,Boy,Eli,5
1900,Boy,Elias,3
1900,Boy,Elie,631
1900,Boy,Elise,5
1900,Boy,Elisee,42
1900,Boy,Eloi,126
1900,Boy,Elphege,4
1900,Boy,Elysee,3
1900,Boy,Emanuel,4
1900,Boy,Emil,5
1900,Boy,Emiland,4
1900,Boy,Emile,4108
1900,Boy,Emilien,204
1900,Boy,Emmanuel,325
1900,Boy,Engelbert,4
1900,Boy,Enogat,3
1900,Boy,Ephrem,4
1900,Boy,Epiphane,8
1900,Boy,Erasme,3
1900,Boy,Erembert,3
1900,Boy,Eric,14
1900,Boy,Erich,13
1900,Boy,Ernest,1472
1900,Boy,Erwin,11
1900,Boy,Esperance,4
1900,Boy,Esprit,6
1900,Boy,Esther,3
1900,Boy,Etienne,900
1900,Boy,Eucher,12
1900,Boy,Eugène,3153
1900,Boy,Euloge,4
1900,Boy,Eusebe,22
1900,Boy,Eustache,14
1900,Boy,Eustase,3
1900,Boy,Eutrope,6
1900,Boy,Evariste,19
1900,Boy,Ewald,5
1900,Boy,Fabien,19
1900,Boy,Fabrice,4
1900,Boy,Faustin,20
1900,Boy,Felicien,135
1900,Boy,Fenelon,4
1900,Boy,Ferdinand,435
1900,Boy,Fernand,2226
1900,Boy,Ferreol,3
1900,Boy,Fevrier,3
1900,Boy,Fidel,3
