Year,Sex,Name,Count
1964,Boy,Adrian,75
1964,Boy,Aengus,5
1964,Boy,Aidan,182
1964,Boy,Aiden,34
1964,Boy,Alan,245
1964,Boy,Albert,28
1964,Boy,Alexander,19
1964,Boy,Alfred,15
1964,Boy,Allan,11
1964,Boy,Allen,9
1964,Boy,Alphonsus,10
1964,Boy,Ambrose,10
1964,Boy,Andrea,9
1964,Boy,Andrew,195
1964,Boy,Angus,3
1964,Boy,Anthony,613
1964,Boy,Aodh,6
1964,Boy,Arnold,4
1964,Boy,Arthur,31
1964,Boy,Augustine,10
1964,Boy,Austin,20
1964,Boy,Barry,62
1964,Boy,Bartholomew,44
1964,Boy,Basil,3
1964,Boy,Benedict,10
1964,Boy,Benjamin,13
1964,Boy,Bernard,201
1964,Boy,Brendan,426
1964,Boy,Brian,464
1964,Boy,Bruce,5
1964,Boy,Bryan,8
1964,Boy,Canice,3
1964,Boy,Carl,11
1964,Boy,Cathal,32
1964,Boy,Charles,145
1964,Boy,Christopher,289
1964,Boy,Ciaran,124
1964,Boy,Cieran,4
1964,Boy,Clement,9
1964,Boy,Clive,11
1964,Boy,Coleman,9
1964,Boy,Colin,37
1964,Boy,Colm,144
1964,Boy,Colman,17
1964,Boy,Colum,18
1964,Boy,Columba,12
1964,Boy,Columbanus,6
1964,Boy,Conal,5
1964,Boy,Conleth,4
1964,Boy,Connell,3
1964,Boy,Conor,97
1964,Boy,Conrad,7
1964,Boy,Cormac,39
1964,Boy,Cornelius,161
1964,Boy,Craig,4
1964,Boy,Criona,3
1964,Boy,Cyril,19
1964,Boy,Daire,6
1964,Boy,Damian,56
1964,Boy,Damien,49
1964,Boy,Daniel,395
1964,Boy,Dara,10
1964,Boy,Daragh,7
1964,Boy,Daryl,3
1964,Boy,David,936
1964,Boy,Declan,321
1964,Boy,Denis,347
1964,Boy,Dennis,6
1964,Boy,Derek,237
1964,Boy,Derick,8
1964,Boy,Dermot,195
1964,Boy,Dermott,3
1964,Boy,Derrick,3
1964,Boy,Desmond,145
1964,Boy,Diarmuid,25
1964,Boy,Dominic,41
1964,Boy,Dominick,24
1964,Boy,Donagh,9
1964,Boy,Donal,144
1964,Boy,Donald,27
1964,Boy,Douglas,8
1964,Boy,Dudley,3
1964,Boy,Eamon,86
1964,Boy,Eamonn,83
1964,Boy,Edmond,45
1964,Boy,Edmund,26
1964,Boy,Edward,425
1964,Boy,Edwin,4
1964,Boy,Enda,49
1964,Boy,Eoghan,9
1964,Boy,Eoin,42
1964,Boy,Eric,34
1964,Boy,Ernest,7
1964,Boy,Eugene,123
1964,Boy,Eunan,7
1964,Boy,Fachtna,3
1964,Boy,Feargal,6
1964,Boy,Fearghal,3
1964,Boy,Felim,3
1964,Boy,Felix,9
1964,Boy,Fergal,35
1964,Boy,Fergus,71
1964,Boy,Fiach,3
1964,Boy,Fiacre,3
1964,Boy,Fidelis,4
1964,Boy,Finbar,26
1964,Boy,Finbarr,61
1964,Boy,Finian,10
1964,Boy,Finnian,3
1964,Boy,Fintan,29
1964,Boy,Flannan,4
1964,Boy,Francis,429
1964,Boy,Frank,9
1964,Boy,Frederick,26
1964,Boy,Gabriel,57
1964,Boy,Gareth,4
1964,Boy,Garett,3
1964,Boy,Garrett,47
1964,Boy,Garry,20
1964,Boy,Gary,41
1964,Boy,Gavin,3
1964,Boy,Gearoid,9
1964,Boy,Geoffrey,11
1964,Boy,George,115
1964,Boy,Gerald,94
1964,Boy,Gerard,815
1964,Boy,Gerrard,7
1964,Boy,Gilbert,3
1964,Boy,Glen,3
1964,Boy,Glenn,8
1964,Boy,Gordon,16
1964,Boy,Graham,16
1964,Boy,Gregory,47
1964,Boy,Harold,11
1964,Boy,Henry,87
1964,Boy,Herbert,8
1964,Boy,Howard,3
1964,Boy,Hubert,17
1964,Boy,Hugh,112
1964,Boy,Humphrey,5
1964,Boy,Ian,86
1964,Boy,Ignatius,6
1964,Boy,Isaac,3
1964,Boy,Ivan,11
1964,Boy,Ivor,4
1964,Boy,James,1554
1964,Boy,Jarlath,13
1964,Boy,Jeffrey,8
1964,Boy,Jeremiah,161
1964,Boy,Jermiah,3
1964,Boy,Jerome,18
1964,Boy,John,3696
1964,Boy,Jonathan,17
1964,Boy,Joseph,737
1964,Boy,Julian,6
1964,Boy,Justin,13
1964,Boy,Karl,40
1964,Boy,Keiran,3
1964,Boy,Keirn,3
1964,Boy,Keith,32
1964,Boy,Kenneth,150
1964,Boy,Kevin,452
1964,Boy,Kieran,224
1964,Boy,Kiernan,10
1964,Boy,Killian,5
