Year,Sex,Name,Count
1935,Boy,Alan,166
1935,Boy,Albert,75
1935,Boy,Alexander,77
1935,Boy,Alfred,50
1935,Boy,Alistair,16
1935,Boy,Alister,10
1935,Boy,Allan,98
1935,Boy,Allen,28
1935,Boy,Andrew,39
1935,Boy,Anthony,61
1935,Boy,Arnold,14
1935,Boy,Arthur,113
1935,Boy,Ashley,14
1935,Boy,Athol,11
1935,Boy,Barrie,33
1935,Boy,Barry,226
1935,Boy,Basil,29
1935,Boy,Bernard,57
1935,Boy,Bevan,12
1935,Boy,Brian,335
1935,Boy,Bruce,167
1935,Boy,Bryan,66
1935,Boy,Cecil,16
1935,Boy,Charles,125
1935,Boy,Christopher,18
1935,Boy,Clarence,22
1935,Boy,Clifford,27
1935,Boy,Clive,39
1935,Boy,Colin,193
1935,Boy,Cyril,19
1935,Boy,Daniel,24
1935,Boy,David,399
1935,Boy,Denis,32
1935,Boy,Dennis,36
1935,Boy,Derek,26
1935,Boy,Desmond,83
1935,Boy,Donald,292
1935,Boy,Douglas,105
1935,Boy,Duncan,10
1935,Boy,Edgar,11
1935,Boy,Edward,117
1935,Boy,Edwin,22
1935,Boy,Eric,88
1935,Boy,Ernest,62
1935,Boy,Evan,15
1935,Boy,Francis,75
1935,Boy,Frank,39
1935,Boy,Frederick,75
1935,Boy,Fredrick,12
1935,Boy,Garry,24
1935,Boy,Gary,43
1935,Boy,Gavin,13
1935,Boy,Geoffrey,46
1935,Boy,George,184
1935,Boy,Gerald,43
1935,Boy,Gilbert,22
1935,Boy,Gordon,121
1935,Boy,Graeme,123
1935,Boy,Graham,205
1935,Boy,Grahame,21
1935,Boy,Harold,65
1935,Boy,Harry,26
1935,Boy,Hemi,11
1935,Boy,Henare,16
1935,Boy,Henry,63
1935,Boy,Herbert,30
1935,Boy,Hone,14
1935,Boy,Hori,10
1935,Boy,Howard,23
1935,Boy,Hugh,32
1935,Boy,Ian,245
1935,Boy,Ivan,57
1935,Boy,Jack,56
1935,Boy,James,372
1935,Boy,John,859
1935,Boy,Joseph,70
1935,Boy,Keith,119
1935,Boy,Kelvin,34
1935,Boy,Kenneth,170
1935,Boy,Kevin,84
1935,Boy,Laurence,29
1935,Boy,Lawrence,55
1935,Boy,Leo,22
1935,Boy,Leonard,74
1935,Boy,Leslie,131
1935,Boy,Lester,14
1935,Boy,Lewis,26
1935,Boy,Lindsay,25
1935,Boy,Lionel,25
1935,Boy,Lloyd,20
1935,Boy,Louis,13
1935,Boy,Lyall,10
1935,Boy,Malcolm,74
1935,Boy,Martin,20
1935,Boy,Maurice,114
1935,Boy,Max,14
1935,Boy,Maxwell,22
1935,Boy,Mervyn,80
1935,Boy,Michael,140
1935,Boy,Milton,11
1935,Boy,Morris,15
1935,Boy,Murray,96
1935,Boy,Neil,68
1935,Boy,Nelson,16
1935,Boy,Neville,56
1935,Boy,Noel,97
1935,Boy,Norman,62
1935,Boy,Owen,52
1935,Boy,Patrick,83
1935,Boy,Paul,52
1935,Boy,Peter,423
1935,Boy,Philip,44
1935,Boy,Phillip,18
1935,Boy,Ralph,27
1935,Boy,Ramon,13
1935,Boy,Rangi,12
1935,Boy,Ray,11
1935,Boy,Raymond,222
1935,Boy,Reginald,47
1935,Boy,Rex,70
1935,Boy,Richard,156
1935,Boy,Robert,384
1935,Boy,Robin,53
1935,Boy,Roderick,14
1935,Boy,Rodney,27
1935,Boy,Roger,47
1935,Boy,Roland,17
1935,Boy,Ronald,311
1935,Boy,Ross,55
1935,Boy,Roy,54
1935,Boy,Russell,69
1935,Boy,Samuel,26
1935,Boy,Selwyn,25
1935,Boy,Sidney,15
1935,Boy,Stanley,56
1935,Boy,Stephen,17
1935,Boy,Stuart,31
1935,Boy,Sydney,27
1935,Boy,Terence,62
1935,Boy,Thomas,176
1935,Boy,Trevor,153
1935,Boy,Victor,22
1935,Boy,Vincent,13
1935,Boy,Wallace,21
1935,Boy,Walter,49
1935,Boy,Warren,36
1935,Boy,Warwick,22
1935,Boy,William,476
1935,Boy,Wiremu,21
1935,Girl,Ada,12
1935,Girl,Adrienne,22
1935,Girl,Agnes,34
1935,Girl,Aileen,28
1935,Girl,Ailsa,22
1935,Girl,Alice,42
1935,Girl,Alison,72
1935,Girl,Alma,19
1935,Girl,Angela,11
1935,Girl,Ani,12
1935,Girl,Anita,12
1935,Girl,Ann,58
1935,Girl,Anna,13
1935,Girl,Anne,87
1935,Girl,Annette,31
1935,Girl,Annie,22
1935,Girl,Audrey,106
1935,Girl,Avis,20
1935,Girl,Barbara,244
1935,Girl,Beatrice,17
1935,Girl,Bernice,20
1935,Girl,Beryl,61
1935,Girl,Betty,126
1935,Girl,Beverley,208
1935,Girl,Beverly,56
1935,Girl,Brenda,13
1935,Girl,Carol,18
1935,Girl,Carole,12
1935,Girl,Caroline,14
1935,Girl,Catherine,50
1935,Girl,Christina,12
1935,Girl,Claire,26
1935,Girl,Clare,13
1935,Girl,Coleen,13
1935,Girl,Colleen,114
1935,Girl,Constance,17
1935,Girl,Coral,13
1935,Girl,Cynthia,21
1935,Girl,Daphne,59
1935,Girl,Dawn,82
1935,Girl,Denise,14
1935,Girl,Diana,39
1935,Girl,Diane,24
1935,Girl,Doreen,124
1935,Girl,Doris,35
1935,Girl,Dorothy,211
1935,Girl,Dulcie,23
1935,Girl,Edith,34
1935,Girl,Edna,37
1935,Girl,Eileen,71
1935,Girl,Elaine,77
1935,Girl,Eleanor,17
1935,Girl,Elizabeth,175
1935,Girl,Ellen,39
1935,Girl,Elsie,41
1935,Girl,Elva,19
1935,Girl,Enid,10
1935,Girl,Esme,12
1935,Girl,Esther,14
1935,Girl,Ethel,24
1935,Girl,Eunice,18
1935,Girl,Eva,16
1935,Girl,Evelyn,50
1935,Girl,Fay,52
1935,Girl,Flora,12
1935,Girl,Florence,45
1935,Girl,Frances,84
1935,Girl,Freda,14
1935,Girl,Gabrielle,11
1935,Girl,Gillian,27
1935,Girl,Gladys,35
1935,Girl,Glenda,10
1935,Girl,Glenys,13
1935,Girl,Gloria,39
1935,Girl,Grace,31
1935,Girl,Greta,12
1935,Girl,Gwenda,10
1935,Girl,Gwendoline,25
1935,Girl,Hazel,28
1935,Girl,Heather,90
1935,Girl,Helen,135
1935,Girl,Hera,12
1935,Girl,Hilda,14
1935,Girl,Ina,13
1935,Girl,Irene,53
1935,Girl,Iris,26
1935,Girl,Isabel,28
1935,Girl,Isobel,28
1935,Girl,Ivy,26
1935,Girl,Jacqueline,28
1935,Girl,Jane,16
1935,Girl,Janet,113
1935,Girl,Janette,16
1935,Girl,Janice,60
1935,Girl,Jean,132
1935,Girl,Jeanette,36
1935,Girl,Jennifer,67
1935,Girl,Jessie,25
1935,Girl,Jill,46
1935,Girl,Jillian,12
1935,Girl,Joan,250
1935,Girl,Jocelyn,64
1935,Girl,Josephine,56
1935,Girl,Joy,63
1935,Girl,Joyce,97
1935,Girl,Judith,176
1935,Girl,Julia,12
1935,Girl,Julie,19
1935,Girl,June,119
1935,Girl,Katherine,13
1935,Girl,Kathleen,137
1935,Girl,Kay,14
1935,Girl,Laurel,10
1935,Girl,Leah,11
1935,Girl,Leonie,15
1935,Girl,Lesley,51
1935,Girl,Lilian,22
1935,Girl,Lois,81
1935,Girl,Lorna,50
1935,Girl,Lorraine,59
1935,Girl,Louisa,10
1935,Girl,Lucy,11
1935,Girl,Lyndsay,10
1935,Girl,Lynette,15
1935,Girl,Mabel,22
1935,Girl,Margaret,693
1935,Girl,Margery,10
1935,Girl,Maria,16
1935,Girl,Marian,11
1935,Girl,Marie,139
1935,Girl,Marilyn,15
1935,Girl,Marina,37
1935,Girl,Marion,83
1935,Girl,Marjorie,64
1935,Girl,Marlene,40
1935,Girl,Martha,10
1935,Girl,Mary,269
1935,Girl,Maureen,178
1935,Girl,Mavis,39
1935,Girl,May,24
1935,Girl,Melva,22
1935,Girl,Mere,11
1935,Girl,Mereana,15
1935,Girl,Merle,27
1935,Girl,Miriam,13
1935,Girl,Moira,18
1935,Girl,Mona,11
1935,Girl,Monica,20
1935,Girl,Muriel,22
1935,Girl,Myra,25
1935,Girl,Myrtle,10
1935,Girl,Nancy,82
1935,Girl,Nancye,10
1935,Girl,Natalie,10
1935,Girl,Nellie,12
1935,Girl,Ngaire,86
1935,Girl,Noeleen,12
1935,Girl,Noelene,20
1935,Girl,Noeline,84
1935,Girl,Nola,70
1935,Girl,Noreen,12
1935,Girl,Norma,63
1935,Girl,Olga,12
1935,Girl,Olive,47
1935,Girl,Pamela,143
1935,Girl,Patricia,344
1935,Girl,Pauline,62
1935,Girl,Pearl,15
1935,Girl,Peggy,27
1935,Girl,Phyllis,52
1935,Girl,Rae,19
1935,Girl,Raewyn,16
1935,Girl,Ripeka,10
1935,Girl,Rita,18
1935,Girl,Roberta,11
1935,Girl,Robin,18
1935,Girl,Rona,23
1935,Girl,Rosalie,19
1935,Girl,Rose,17
1935,Girl,Rosemary,51
1935,Girl,Ruby,15
1935,Girl,Ruth,59
1935,Girl,Sally,11
1935,Girl,Sheila,11
1935,Girl,Shirley,456
1935,Girl,Shona,21
1935,Girl,Susan,11
1935,Girl,Suzanne,12
1935,Girl,Sylvia,41
1935,Girl,Thelma,44
1935,Girl,Tui,13
1935,Girl,Valda,22
1935,Girl,Valerie,167
1935,Girl,Valma,21
1935,Girl,Valmai,23
1935,Girl,Vera,19
1935,Girl,Verna,14
1935,Girl,Violet,29
1935,Girl,Vivienne,23
1935,Girl,Wendy,21
1935,Girl,Winifred,30
1935,Girl,Yvonne,92
1936,Boy,Alan,116
1936,Boy,Albert,76
1936,Boy,Alexander,80
1936,Boy,Alfred,52
1936,Boy,Alistair,11
1936,Boy,Allan,111
1936,Boy,Allen,27
1936,Boy,Andrew,39
1936,Boy,Anthony,74
1936,Boy,Arnold,18
1936,Boy,Arthur,108
1936,Boy,Athol,13
1936,Boy,Barrie,29
1936,Boy,Barry,215
1936,Boy,Basil,17
1936,Boy,Benjamin,13
1936,Boy,Bernard,35
1936,Boy,Brian,395
1936,Boy,Bruce,170
1936,Boy,Bryan,61
1936,Boy,Carl,13
1936,Boy,Cecil,12
1936,Boy,Cedric,18
1936,Boy,Charles,118
1936,Boy,Charlie,11
1936,Boy,Christopher,18
1936,Boy,Clarence,18
1936,Boy,Claude,11
1936,Boy,Clifford,30
1936,Boy,Clive,31
1936,Boy,Colin,231
1936,Boy,Cyril,23
1936,Boy,Daniel,28
1936,Boy,David,406
1936,Boy,Denis,42
1936,Boy,Dennis,25
1936,Boy,Derek,14
1936,Boy,Desmond,84
1936,Boy,Don,10
1936,Boy,Donald,285
1936,Boy,Douglas,116
1936,Boy,Edgar,10
1936,Boy,Edward,178
1936,Boy,Edwin,32
1936,Boy,Eric,75
1936,Boy,Ernest,38
1936,Boy,Evan,13
1936,Boy,Francis,76
1936,Boy,Frank,47
1936,Boy,Frederick,86
1936,Boy,Fredrick,20
1936,Boy,Garry,33
1936,Boy,Garth,12
1936,Boy,Gary,66
1936,Boy,Gavin,22
1936,Boy,Geoffrey,53
1936,Boy,George,187
1936,Boy,Gerald,41
1936,Boy,Gilbert,22
1936,Boy,Gordon,122
1936,Boy,Graeme,151
1936,Boy,Graham,253
1936,Boy,Grahame,17
1936,Boy,Harold,52
1936,Boy,Harry,28
1936,Boy,Henare,12
1936,Boy,Henry,63
1936,Boy,Herbert,29
1936,Boy,Hohepa,13
1936,Boy,Hone,18
1936,Boy,Hori,15
1936,Boy,Howard,19
1936,Boy,Hugh,35
1936,Boy,Ian,247
1936,Boy,Ivan,60
1936,Boy,Jack,57
1936,Boy,James,343
1936,Boy,John,925
1936,Boy,Joseph,64
1936,Boy,Keith,109
1936,Boy,Kelvin,27
1936,Boy,Kenneth,184
1936,Boy,Kevin,82
1936,Boy,Laurence,33
1936,Boy,Lawrence,46
1936,Boy,Leo,16
1936,Boy,Leonard,56
1936,Boy,Leslie,111
1936,Boy,Lester,11
1936,Boy,Lewis,26
1936,Boy,Lindsay,25
1936,Boy,Lionel,22
1936,Boy,Lloyd,13
1936,Boy,Louis,13
1936,Boy,Malcolm,76
1936,Boy,Martin,21
1936,Boy,Maurice,94
1936,Boy,Max,18
1936,Boy,Maxwell,34
1936,Boy,Mervyn,62
1936,Boy,Michael,140
1936,Boy,Morris,16
1936,Boy,Murray,107
1936,Boy,Neil,79
1936,Boy,Neville,63
1936,Boy,Noel,103
1936,Boy,Norman,86
1936,Boy,Owen,51
1936,Boy,Patrick,93
1936,Boy,Paul,68
1936,Boy,Peter,428
1936,Boy,Philip,40
1936,Boy,Phillip,17
1936,Boy,Ralph,32
1936,Boy,Ramon,14
1936,Boy,Raymond,205
1936,Boy,Reginald,50
1936,Boy,Rex,78
1936,Boy,Richard,181
1936,Boy,Robert,431
1936,Boy,Robin,62
1936,Boy,Roderick,11
1936,Boy,Rodney,30
1936,Boy,Roger,61
1936,Boy,Roland,10
1936,Boy,Ronald,331
1936,Boy,Ross,45
1936,Boy,Roy,43
1936,Boy,Russell,59
1936,Boy,Selwyn,21
1936,Boy,Sidney,15
1936,Boy,Stanley,72
1936,Boy,Stephen,14
1936,Boy,Stewart,12
1936,Boy,Stuart,22
1936,Boy,Sydney,21
1936,Boy,Terence,63
1936,Boy,Terrence,20
1936,Boy,Thomas,182
1936,Boy,Trevor,151
1936,Boy,Victor,24
1936,Boy,Vincent,18
1936,Boy,Walter,68
1936,Boy,Warren,40
1936,Boy,Warwick,20
1936,Boy,William,508
1936,Boy,Wilson,10
1936,Boy,Wiremu,26
1936,Girl,Ada,12
1936,Girl,Adrienne,23
1936,Girl,Agnes,28
1936,Girl,Aileen,27
1936,Girl,Ailsa,21
1936,Girl,Alice,45
1936,Girl,Alison,78
1936,Girl,Allison,12
1936,Girl,Alma,19
1936,Girl,Amy,10
1936,Girl,Angela,13
1936,Girl,Anita,15
1936,Girl,Ann,73
1936,Girl,Anne,102
1936,Girl,Annette,43
1936,Girl,Annie,29
1936,Girl,Audrey,76
1936,Girl,Barbara,255
1936,Girl,Beatrice,22
1936,Girl,Bernice,15
1936,Girl,Beryl,44
1936,Girl,Betty,143
1936,Girl,Beverley,259
1936,Girl,Beverly,76
1936,Girl,Brenda,11
1936,Girl,Carol,29
1936,Girl,Carole,16
1936,Girl,Caroline,14
1936,Girl,Catherine,53
1936,Girl,Christina,14
1936,Girl,Christine,10
1936,Girl,Claire,23
1936,Girl,Colleen,149
1936,Girl,Constance,10
1936,Girl,Coral,25
1936,Girl,Cynthia,18
1936,Girl,Daphne,45
1936,Girl,Dawn,87
1936,Girl,Denise,11
1936,Girl,Diana,53
1936,Girl,Diane,23
1936,Girl,Dianne,15
1936,Girl,Doreen,93
1936,Girl,Doris,26
1936,Girl,Dorothy,205
1936,Girl,Dulcie,20
1936,Girl,Edith,46
1936,Girl,Edna,31
1936,Girl,Eileen,90
1936,Girl,Elaine,103
1936,Girl,Eleanor,32
1936,Girl,Elizabeth,212
1936,Girl,Ellen,38
1936,Girl,Elsie,34
1936,Girl,Elva,11
1936,Girl,Emily,10
1936,Girl,Enid,16
1936,Girl,Esther,13
1936,Girl,Ethel,32
1936,Girl,Eunice,21
1936,Girl,Eva,17
1936,Girl,Evelyn,64
1936,Girl,Fay,67
1936,Girl,Faye,12
1936,Girl,Florence,39
1936,Girl,Frances,84
1936,Girl,Freda,17
1936,Girl,Gail,11
1936,Girl,Gaynor,16
1936,Girl,Georgina,10
1936,Girl,Gillian,28
1936,Girl,Gladys,39
1936,Girl,Glenys,14
1936,Girl,Gloria,28
1936,Girl,Grace,28
1936,Girl,Gwendoline,13
1936,Girl,Hazel,36
1936,Girl,Heather,117
1936,Girl,Helen,141
1936,Girl,Hera,14
1936,Girl,Hilda,12
1936,Girl,Hine,10
1936,Girl,Irene,53
1936,Girl,Iris,21
1936,Girl,Isabel,14
1936,Girl,Isobel,11
1936,Girl,Ivy,21
1936,Girl,Jacqueline,36
1936,Girl,Jane,18
1936,Girl,Janet,130
1936,Girl,Janette,15
1936,Girl,Janice,92
1936,Girl,Jean,164
1936,Girl,Jeanette,54
1936,Girl,Jenifer,12
1936,Girl,Jennifer,92
1936,Girl,Jessie,20
1936,Girl,Jill,51
1936,Girl,Jillian,15
1936,Girl,Joan,234
1936,Girl,Jocelyn,48
1936,Girl,Josephine,57
1936,Girl,Joy,68
1936,Girl,Joyce,86
1936,Girl,Judith,202
1936,Girl,Julia,25
1936,Girl,Julie,22
1936,Girl,Juliet,11
1936,Girl,June,127
1936,Girl,Kathleen,137
1936,Girl,Kay,14
1936,Girl,Laura,12
1936,Girl,Laurel,12
1936,Girl,Leonie,14
1936,Girl,Lesley,41
1936,Girl,Lilian,17
1936,Girl,Lillian,15
1936,Girl,Lois,79
1936,Girl,Lola,10
1936,Girl,Loretta,10
1936,Girl,Lorna,49
1936,Girl,Lorraine,75
1936,Girl,Louise,10
1936,Girl,Lucy,18
1936,Girl,Lynette,19
1936,Girl,Mabel,14
1936,Girl,Maraea,14
1936,Girl,Margaret,743
1936,Girl,Margery,10
1936,Girl,Maria,25
1936,Girl,Marian,14
1936,Girl,Marie,128
1936,Girl,Marilyn,25
1936,Girl,Marina,14
1936,Girl,Marion,83
1936,Girl,Marjorie,61
1936,Girl,Marjory,13
1936,Girl,Marlene,39
1936,Girl,Martha,17
1936,Girl,Mary,308
1936,Girl,Maureen,161
1936,Girl,Mavis,53
1936,Girl,May,15
1936,Girl,Melva,25
1936,Girl,Mere,13
1936,Girl,Merle,29
1936,Girl,Miriam,11
1936,Girl,Moira,10
1936,Girl,Molly,13
1936,Girl,Mona,13
1936,Girl,Monica,12
1936,Girl,Muriel,29
1936,Girl,Myra,18
1936,Girl,Myrna,11
1936,Girl,Myrtle,13
1936,Girl,Nancy,90
1936,Girl,Naomi,12
1936,Girl,Natalie,21
1936,Girl,Nellie,14
1936,Girl,Ngaere,10
1936,Girl,Ngaire,91
1936,Girl,Noeleen,22
1936,Girl,Noelene,28
1936,Girl,Noeline,93
1936,Girl,Nola,69
1936,Girl,Noleen,15
1936,Girl,Norma,50
1936,Girl,Olive,41
1936,Girl,Pamela,153
1936,Girl,Patricia,344
1936,Girl,Pauline,68
1936,Girl,Peggy,30
1936,Girl,Phyllis,56
1936,Girl,Rachel,21
1936,Girl,Rae,20
1936,Girl,Raewyn,19
1936,Girl,Rita,40
1936,Girl,Roberta,13
1936,Girl,Robin,26
1936,Girl,Rona,10
1936,Girl,Rosalie,15
1936,Girl,Rose,16
1936,Girl,Rosemary,47
1936,Girl,Ruby,17
1936,Girl,Ruth,55
1936,Girl,Sally,16
1936,Girl,Sheila,11
1936,Girl,Shirley,454
1936,Girl,Shona,20
1936,Girl,Susan,18
1936,Girl,Sylvia,59
1936,Girl,Thelma,48
1936,Girl,Valarie,11
1936,Girl,Valda,19
1936,Girl,Valerie,216
1936,Girl,Valmai,21
1936,Girl,Velma,11
1936,Girl,Vera,23
1936,Girl,Verna,10
1936,Girl,Veronica,12
1936,Girl,Violet,30
1936,Girl,Vivienne,16
1936,Girl,Wendy,22
1936,Girl,Wilma,15
1936,Girl,Winifred,28
1936,Girl,Yvonne,97
1937,Boy,Alan,169
1937,Boy,Albert,74
1937,Boy,Alexander,60
1937,Boy,Alfred,55
1937,Boy,Alistair,10
1937,Boy,Alister,10
1937,Boy,Allan,129
1937,Boy,Allen,25
1937,Boy,Andrew,31
1937,Boy,Anthony,90
1937,Boy,Antony,10
1937,Boy,Archibald,10
