Year,Sex,Name,Count
1997,Boy,Aaron,221
1997,Boy,Adam,236
1997,Boy,Adrian,11
1997,Boy,Aedan,3
1997,Boy,Aidan,48
1997,Boy,Aiden,3
1997,Boy,Alan,14
1997,Boy,Alastair,5
1997,Boy,Albert,5
1997,Boy,Alex,15
1997,Boy,Alexander,49
1997,Boy,Alistair,8
1997,Boy,Alister,3
1997,Boy,Andrew,275
1997,Boy,Angus,4
1997,Boy,Anthony,42
1997,Boy,Antoin,3
1997,Boy,Anton,5
1997,Boy,Aodhan,11
1997,Boy,Arran,3
1997,Boy,Arron,4
1997,Boy,Ashley,13
1997,Boy,Bailey,6
1997,Boy,Bailie,3
1997,Boy,Barry,30
1997,Boy,Ben,85
1997,Boy,Benjamin,92
1997,Boy,Benn,3
1997,Boy,Bernard,3
1997,Boy,Blaine,5
1997,Boy,Blake,5
1997,Boy,Brad,11
1997,Boy,Bradley,22
1997,Boy,Brandon,49
1997,Boy,Breandan,3
1997,Boy,Brendan,41
1997,Boy,Brett,4
1997,Boy,Brian,40
1997,Boy,Bryan,8
1997,Boy,Cahal,4
1997,Boy,Cahir,6
1997,Boy,Cailum,3
1997,Boy,Cal,4
1997,Boy,Caleb,7
1997,Boy,Callan,5
1997,Boy,Callum,99
1997,Boy,Calum,23
1997,Boy,Calvin,16
1997,Boy,Cameron,45
1997,Boy,Caoimhin,8
1997,Boy,Caolain,3
1997,Boy,Caolan,117
1997,Boy,Caomhan,7
1997,Boy,Carl,10
1997,Boy,Carter,7
1997,Boy,Cathal,39
1997,Boy,Charles,17
1997,Boy,Charlie,10
1997,Boy,Che,5
1997,Boy,Chris,3
1997,Boy,Christian,8
1997,Boy,Christie,3
1997,Boy,Christopher,204
1997,Boy,Christy,6
1997,Boy,Cianan,3
1997,Boy,Ciaran,113
1997,Boy,Cillian,8
1997,Boy,Clark,3
1997,Boy,Clifford,3
1997,Boy,Cody,3
1997,Boy,Colin,24
1997,Boy,Colm,24
1997,Boy,Colum,4
1997,Boy,Conal,21
1997,Boy,Conall,28
1997,Boy,Conan,9
1997,Boy,Conchur,6
1997,Boy,Conn,3
1997,Boy,Connor,87
1997,Boy,Conor,312
1997,Boy,Conrad,4
1997,Boy,Corey,43
1997,Boy,Cormac,41
1997,Boy,Cory,5
1997,Boy,Craig,43
1997,Boy,Curtis,80
1997,Boy,Daire,24
1997,Boy,Dale,12
1997,Boy,Damian,10
1997,Boy,Damien,9
1997,Boy,Daniel,208
1997,Boy,Danny,7
1997,Boy,Dara,8
1997,Boy,Darragh,31
1997,Boy,Darrell,4
1997,Boy,Darren,62
1997,Boy,Darryl,12
1997,Boy,Daryl,16
1997,Boy,David,246
1997,Boy,Deaglan,7
1997,Boy,Dean,77
1997,Boy,Deane,3
1997,Boy,Declan,58
1997,Boy,Dennis,4
1997,Boy,Dermot,8
1997,Boy,Desmond,4
1997,Boy,Diarmuid,8
1997,Boy,Dillon,22
1997,Boy,Domhnall,3
1997,Boy,Dominic,18
1997,Boy,Don,3
1997,Boy,Donal,10
1997,Boy,Duncan,4
1997,Boy,Dylan,135
1997,Boy,Eamon,15
1997,Boy,Eamonn,11
1997,Boy,Edward,22
1997,Boy,Elliot,3
1997,Boy,Emmet,9
1997,Boy,Emmett,15
1997,Boy,Enda,7
1997,Boy,Eoghan,21
1997,Boy,Eoin,56
1997,Boy,Eric,3
1997,Boy,Ethan,48
1997,Boy,Euan,4
1997,Boy,Eugene,4
1997,Boy,Eunan,9
1997,Boy,Evan,11
1997,Boy,Ewan,10
1997,Boy,Feargal,3
1997,Boy,Fearghal,8
1997,Boy,Fergal,6
1997,Boy,Fergus,5
1997,Boy,Finbar,7
1997,Boy,Finn,3
1997,Boy,Fintan,7
1997,Boy,Fionntan,6
1997,Boy,Francis,23
1997,Boy,Frazer,3
1997,Boy,Gabriel,5
1997,Boy,Gareth,75
1997,Boy,Garrett,5
1997,Boy,Gary,51
1997,Boy,Gavin,45
1997,Boy,Geoffrey,3
1997,Boy,George,16
1997,Boy,Gerald,9
1997,Boy,Gerard,51
1997,Boy,Giles,3
1997,Boy,Glen,15
1997,Boy,Glenn,22
1997,Boy,Gordon,3
1997,Boy,Graeme,13
1997,Boy,Graham,7
1997,Boy,Grant,7
1997,Boy,Gregory,5
1997,Boy,Hamish,3
1997,Boy,Harry,33
1997,Boy,Harvey,3
1997,Boy,Hayden,3
1997,Boy,Henry,10
1997,Boy,Hugh,9
1997,Boy,Iain,3
1997,Boy,Ian,15
1997,Boy,Isaac,6
1997,Boy,Jack,259
1997,Boy,Jackson,9
1997,Boy,Jacob,25
1997,Boy,Jaime,3
1997,Boy,Jake,47
1997,Boy,James,352
1997,Boy,Jamie,165
1997,Boy,Jared,3
1997,Boy,Jarlath,6
1997,Boy,Jason,82
1997,Boy,Jay,12
1997,Boy,Jeffrey,4
1997,Boy,Jesse,3
1997,Boy,Joe,8
1997,Boy,Joel,34
1997,Boy,John,182
1997,Boy,Johnathan,13
1997,Boy,Johnny,3
1997,Boy,Jon,6
1997,Boy,Jonathan,145
1997,Boy,Jonathon,21
1997,Boy,Jordan,266
1997,Boy,Jordon,7
1997,Boy,Joseph,95
1997,Boy,Josh,22
1997,Boy,Joshua,137
1997,Boy,Jude,5
1997,Boy,Justin,17
1997,Boy,Kane,3
1997,Boy,Karl,27
1997,Boy,Kealan,7
1997,Boy,Keelan,9
1997,Boy,Keith,12
1997,Boy,Kelvin,6
1997,Boy,Kenneth,7
1997,Boy,Kevin,42
1997,Boy,Kieran,25
1997,Boy,Killian,8
1997,Boy,Kirk,3
1997,Boy,Kristian,6
1997,Boy,Kristopher,5
1997,Boy,Kurt,4
1997,Boy,Kurtis,19
1997,Boy,Kyle,102
1997,Boy,Lee,82
1997,Boy,Leo,3
1997,Boy,Leon,16
1997,Boy,Lewis,40
1997,Boy,Liam,74
1997,Boy,Lloyd,5
1997,Boy,Logan,6
1997,Boy,Lorcan,12
1997,Boy,Louis,16
1997,Boy,Lucas,7
1997,Boy,Luke,105
1997,Boy,Lyndon,3
1997,Boy,Macauley,10
1997,Boy,Mairtin,3
1997,Boy,Malachy,8
1997,Boy,Malcolm,3
1997,Boy,Manus,4
1997,Boy,Marc,30
1997,Boy,Marco,3
1997,Boy,Marcus,20
1997,Boy,Mark,200
1997,Boy,Martin,71
1997,Boy,Matthew,410
1997,Boy,Max,6
1997,Boy,Michael,263
1997,Boy,Micheal,12
1997,Boy,Mitchel,3
1997,Boy,Mitchell,5
1997,Boy,Morgan,5
1997,Boy,Myles,5
1997,Boy,Naoise,3
1997,Boy,Nathan,154
1997,Boy,Nathaniel,4
1997,Boy,Neil,34
1997,Boy,Niall,102
1997,Boy,Nicholas,19
1997,Boy,Nigel,3
1997,Boy,Noel,9
1997,Boy,Odhran,18
1997,Boy,Oisin,37
1997,Boy,Oliver,23
1997,Boy,Omar,3
1997,Boy,Oran,13
1997,Boy,Owen,39
1997,Boy,Padraic,3
1997,Boy,Padraig,31
1997,Boy,Patrick,164
1997,Boy,Paul,123
1997,Boy,Pauric,3
1997,Boy,Peadar,6
1997,Boy,Pearce,6
1997,Boy,Pearse,20
1997,Boy,Peter,135
1997,Boy,Philip,65
1997,Boy,Phillip,6
1997,Boy,Piaras,5
1997,Boy,Pierce,15
1997,Boy,Raymond,12
1997,Boy,Reece,40
1997,Boy,Reuben,12
1997,Boy,Rhys,34
1997,Boy,Rian,14
1997,Boy,Richard,37
1997,Boy,Robbie,10
1997,Boy,Robert,96
1997,Boy,Robin,5
1997,Boy,Rohan,3
1997,Boy,Ronan,66
1997,Boy,Rory,59
1997,Boy,Ross,106
1997,Boy,Rowan,3
1997,Boy,Roy,3
1997,Boy,Ruairi,52
1997,Boy,Ruari,3
1997,Boy,Russell,3
1997,Boy,Ryan,381
1997,Boy,Sam,23
1997,Boy,Samuel,89
1997,Boy,Saul,3
1997,Boy,Scot,3
1997,Boy,Scott,90
1997,Boy,Seamus,18
1997,Boy,Sean,186
1997,Boy,Sean-Paul,4
1997,Boy,Shane,77
1997,Boy,Shaun,17
1997,Boy,Shay,15
1997,Boy,Shea,42
1997,Boy,Simon,24
1997,Boy,Stefan,12
1997,Boy,Stephen,135
1997,Boy,Steven,50
1997,Boy,Stewart,14
